StartUp,Total Funding (in Rs. Cr.),Average Funds Growth,Viability Quotient,Investment Intensity Index,Investor Confidence Index,Monthly Engagement Rate,Total Monthly Downloads
CropIn,3706.168,1186.113426616556,9.090909090909092,14.824672,0.1935483870967742,2.139999999999995,0
Avaamo,1464.0,-46.478873239436616,3.6,13.555555555555555,0.18181818181818182,0.19559999999999986,0
Shipsy,1261.0,-25.916666666666668,2.7777777777777777,21.016666666666666,0.14285714285714285,0.3476999999999999,6525
LogiNext,1190.4,699.2222222222223,1.0,22.044444444444448,0.14285714285714285,0.7647000000000002,9450
Skit,1124.0,-20.0,3.5714285714285716,14.05,0.15789473684210525,0.3097000000000001,0
Rephrase.ai,390.4,2730.2044025157234,3.2,13.942857142857141,0.36363636363636365,0.3208000000000001,0
Flutura,340.0,110.0,2.272727272727273,8.5,0.2727272727272727,0.06030000000000001,0
Strand Life Sciences,208.0,0.0,0.36363636363636365,26.0,0.3333333333333333,0.3839,0
Haptik.ai,195.2,-47.81,0.4,32.53333333333333,0.4,0.4854,0
Doxper,135.6,161.11111111111111,1.2857142857142858,4.109090909090909,0.21428571428571427,0.9856999999999998,0
Artivatic.ai,118.8,22.5,5.142857142857143,2.475,0.3333333333333333,0.14699999999999996,0
Attentive AI,112.0,56.875,1.3333333333333333,9.333333333333334,0.14285714285714285,1.5286,0
ParallelDots,100.4,-50.0,0.5714285714285714,16.733333333333334,0.4,0.6055,0
InMed Prognostics,69.24,750.0,3.2,4.3275,0.5,0.0,0
Scalenut,56.0,43.75,1.3333333333333333,5.6,0.2857142857142857,0.8631,0
Zevi,52.96,290.90909090909093,1.7777777777777777,1.2036363636363636,0.21428571428571427,0.0705,0
Kombai,36.0,0.0,1.0,18.0,0.3333333333333333,0.2273,0
Ossus Biorenewables,19.7,0.0,1.0,9.85,0.3333333333333333,0.0,0
TangoEye,18.0,35.0,1.0,2.25,0.3333333333333333,0.1429,0
Assert AI,16.0,0.0,0.5,8.0,0.0,0.2526,0
